uid,freq_min,natoms
1MoS2-1,-0.020389939389670403,3
2CoS2-1,-0.06244410298899795,6
2CoS2-2,-0.20399445018249035,6
2TiS2-1,-0.1025533700893205,6
1TaAs2-2,-0.01011888961205207,3
1CrI2-1,-0.01705624304766166,3
2PdBr2-1,-0.024023249215977243,6
1NbI2-3,-0.02136769725177419,3
1MoAs2-2,-0.011384042386653592,3
1AlTe2-1,-0.051667390508515425,3
1YF2-1,-0.05724109154756156,3
1PdBr2-2,-0.014091375481064462,3
1OsBr2-2,-0.07384966778709305,3
8STl2-1,-0.0824605973018825,24
1FeSe2-1,-0.07974142810231276,3
2PdO2-1,-1.1986474454573712,6
1NbSe2-1,-0.03883261024941587,3
2NiO2-1,-0.14840821075698976,6
1TaI2-1,-0.03086169257401508,3
2MgI2-1,-0.03414023669649395,6
1MnBr2-2,-0.03622150600767182,3
1ScF2-2,-0.03945659578540717,3
2HfF2-1,-0.07941191297498769,6
1ReI2-2,-0.4068166722464349,3
1NMo2-1,-0.039032740494244454,3
1CsBr2-1,-1.1031468473239752,3
1NHf2-1,-0.011337619701179507,3
2AgBr2-1,-0.061686272569391846,6
1AgCl2-1,-0.37085158011522085,3
1RhO2-2,-0.08630882420284407,3
1OsF2-3,-3.2321597769998545,3
1SrCl2-1,-0.02531438228678765,3
1SrCl2-3,-1.2907094378216757,3
3MnI2-2,-0.03632644636656271,9
2PtTe2-1,-0.01534569198127032,6
1CMn2-1,-0.028487342735548954,3
1GeO2-1,-0.028844860775371524,3
1ZnS2-1,-0.038473622568798146,3
2SeCu2-1,-0.029993505089765744,6
1PtF2-3,-3.7892107352307622,3
1GaS2-1,-0.045671952563040574,3
2SeNb2-1,-0.11482899137995871,6
1NMn2-1,-3.6771426750281275,3
2PdF2-3,-0.06206477400762423,6
2SNb2-1,-0.031122842918568712,6
1YI2-2,-0.01962315274769776,3
2MnTe2-1,-0.04770532078582006,6
1SbO2-1,-0.12011666835529798,3
1CrF2-2,-0.0626559050812705,3
1AgTe2-2,-0.007331363602663738,3
1CoTe2-2,-0.01110910934318878,3
1CuBr2-1,-0.016888469871525372,3
1IrO2-3,-0.06769432845140465,3
1IrO2-2,-0.0530181531758285,3
1BiTe2-1,-0.029413293687259746,3
1AlI2-2,-0.017473554084213975,3
1TiO2-2,-0.05364022146271733,3
1BiSe2-3,-0.17899007260948516,3
1WTe2-3,-0.022096583585764797,3
1FeLi2-1,-0.013670505511709863,3
2SnCl2-1,-0.61522154143894,6
2AlSe2-2,-2.994246322168459,6
1MoCl2-2,-1.7939119595856168,3
1RuO2-2,-0.6585963641169363,3
1TiBr2-3,-0.024116735603481165,3
1BiBr2-3,-0.4911962198702034,3
1AgSe2-1,-0.011235840294070414,3
1WSb2-1,-0.02198777255851721,3
