uid,freq_min,natoms
1MoS2-1,-2.1790884819375852e-07,3
2CoS2-1,-1.340357949848103e-07,6
2CoS2-2,-3.260718699592786e-08,6
2TiS2-1,-1.63138434842984e-07,6
1TaAs2-2,-1.407850895477004e-07,3
1CrI2-1,-1.0532598550583262e-07,3
2PdBr2-1,-6.509544764094445e-08,6
1NbI2-3,-5.7400528252861186e-08,3
1MoAs2-2,-1.3336063126703506e-07,3
1AlTe2-1,-5.034507927885607e-08,3
1YF2-1,-9.247941213502619e-08,3
1PdBr2-2,-6.51173682837253e-08,3
1OsBr2-2,-8.029746012708851e-08,3
8STl2-1,-7.119640703256023e-08,24
1FeSe2-1,-4.037451670612275e-08,3
2PdO2-1,-1.1885266147484703,6
1NbSe2-1,5.6449424322144584e-08,3
2NiO2-1,-2.0917668674710733e-07,6
1TaI2-1,-6.511275215195812e-08,3
2MgI2-1,-1.1062333802950948e-07,6
1MnBr2-2,-1.7509374065046725e-08,3
1ScF2-2,1.5040834054619728e-07,3
2HfF2-1,-1.3317980027258097e-07,6
1ReI2-2,-0.4112805528702535,3
1NMo2-1,-1.7476673216923906e-07,3
1CsBr2-1,-1.1027389193280888,3
1NHf2-1,7.823624913360189e-08,3
2AgBr2-1,-9.366681714701998e-08,6
1AgCl2-1,-0.22148242488706782,3
1RhO2-2,-1.7260021968553756e-07,3
1OsF2-3,-3.57408203156227,3
1SrCl2-1,-5.925882410992223e-08,3
1SrCl2-3,-1.2907221670603295,3
3MnI2-2,-7.468398240780216e-08,9
2PtTe2-1,3.18104273410117e-08,6
1CMn2-1,-2.2872929331961755e-07,3
1GeO2-1,-2.0680603540518385e-07,3
1ZnS2-1,-1.0099919844871449e-07,3
2SeCu2-1,-1.1649398825841183e-07,6
1PtF2-3,-3.817512027225476,3
1GaS2-1,-2.1442841818698258e-07,3
2SeNb2-1,-1.2189039891115525e-07,6
1NMn2-1,-4.070647655781652,3
2PdF2-3,-3.276106232058441e-07,6
2SNb2-1,-9.044660429958284e-08,6
1YI2-2,-5.213000599616871e-08,3
2MnTe2-1,-7.810017463393857e-08,6
1SbO2-1,-3.174763900431109e-07,3
1CrF2-2,-1.5853259684049134e-07,3
1AgTe2-2,-5.4081801806295904e-08,3
1CoTe2-2,-3.9271293959022494e-08,3
1CuBr2-1,-4.794861836748509e-08,3
1IrO2-3,-1.7137209250879175e-07,3
1IrO2-2,-2.626464649931286e-07,3
1BiTe2-1,-7.679289714391711e-08,3
1AlI2-2,-6.969582979951205e-08,3
1TiO2-2,-1.801419616466331e-07,3
1BiSe2-3,-0.15015088644213062,3
1WTe2-3,-5.8393223426957956e-08,3
1FeLi2-1,-1.8666507014860677e-07,3
2SnCl2-1,-0.5782750134052879,6
2AlSe2-2,-2.868311640346206,6
1MoCl2-2,-1.803174040381132,3
1RuO2-2,-0.3369342565401972,3
1TiBr2-3,-1.2063388070945524e-07,3
1BiBr2-3,-0.49411786321601586,3
1AgSe2-1,2.9035250517560902e-08,3
1WSb2-1,4.1020947030905764e-08,3
2TiF2-1,-1.619723588623381e-07,6
2CuI2-1,-4.167913383794695e-08,6
2OsO2-1,-6.108879304814149e-08,6
1SrF2-3,-1.595062907034944e-07,3
1ReBr2-2,5.125440462412626e-08,3
1SnO2-1,-2.966930956917544e-07,3
1SnO2-3,-2.0077438882679222e-07,3
2NbO2-1,-2.080890836123338,6
3CuI2-1,-1.4182254509893204,9
1RuS2-2,-1.3097446904951604e-07,3
2AgI2-2,-0.48766272045675313,6
1IrTe2-3,-0.6074387772332984,3
1HgBr2-3,-0.26925811854650583,3
1MnO2-1,2.0115700234950637e-07,3
1MnO2-2,-2.3459573191851376e-07,3
1MnO2-3,-2.744589542536689e-07,3
1TlSe2-1,-9.852268371654304e-08,3
1ReSe2-1,-1.2693431711338436e-07,3
2ScBr2-1,-0.36450720904451656,6
1RhS2-3,-1.670428396836779e-07,3
1CrH2-1,-14.251723781201706,3
2CrH2-1,-10.601499968058876,6
1TiI2-3,-0.4999305339386353,3
1TiI2-1,-8.994061794386087e-08,3
2CoTe2-1,-6.890569408865143e-08,6
1RuBr2-3,-1.0273069271268192e-07,3
1AgI2-1,-0.30746985802348265,3
1TiTe2-1,-1.2492304006976595e-07,3
1FeBr2-1,-7.343228403329278e-08,3
1PtI2-1,6.460658799129146e-08,3
1PbBr2-3,-0.9456959181087985,3
1IrF2-1,-5.4672063601911844,3
1WI2-3,-1.4337690844422798e-07,3
1PbCl2-3,-1.5138093823723016,3
6AsO2-1,2.2957650370853345e-08,18
1VS2-3,1.6526186878295997e-07,3
1CoF2-1,-2.6129096402340414e-07,3
1PtBr2-1,-1.1996289479430812e-07,3
1RuSe2-2,8.140580103328616e-08,3
1PdF2-2,-2.893495628336975,3
1GeS2-1,8.643353677437229e-08,3
1AuO2-1,-3.413167617568783e-08,3
1AuO2-2,-6.433625466213186,3
1TaTe2-2,-1.3591029365858488e-07,3
2AsCPbH3S3-1,-3.5534771655419646,18
2NPSnF3O3-1,-2.627867232294704e-07,18
2CSbSnH3O3-1,-3.596236021398364,18
2CCsTeCl3O3-1,-0.0905400952452662,18
2AsCGeF3S3-1,-1.5587105090391412e-07,18
2BrHgO-1,-1.355476370686582,6
1BiBrSe-2,-4.479224721769012e-08,3
2AlGeSe-1,-4.873787093674113e-08,6
2FOsS-1,-2.064548394708824,6
2FNbO-1,-2.6755526460147,6
4PPdSe-1,-9.812528483987316e-08,12
2AlClTe-1,-1.1198822112817613e-07,6
1ISeV-1,-8.708002662673183e-08,3
1ISZn-1,-6.486734432324593e-08,3
2BaMgSn-1,-1.1096430788964884,6
1ClITa-2,-1.1891229246936388e-07,3
2NaPPd-1,-1.0076393879214277e-07,6
2BiClO-1,-1.7947911354273953,6
2ClHfN-1,-2.209413813453506e-07,6
2FLiS-1,-7.030019411834276,6
2BrOsTe-1,-9.896345845050657e-08,6
2AgNaTe-1,-9.260613860739688e-08,6
